"rows_name" "biome"
"284" 284 "CFI"
"285" 285 "CFI"
"286" 286 "CFI"
"287" 287 "CFI"
"288" 288 "CFI"
"289" 289 "CFI"
"290" 290 "DFI"
"291" 291 "DFI"
"292" 292 "CFI"
"293" 293 "CFI"
"294" 294 "FI"
"295" 295 "FI"
"296" 296 "FI"
"297" 297 "CF"
"298" 298 "CF"
"299" 299 "CF"
"300" 300 "CFI"
"301" 301 "CFI"
"302" 302 "FI"
"303" 303 "FI"
"304" 304 "CFI"
"305" 305 "CFI"
"306" 306 "CFI"
"307" 307 "CFI"
"308" 308 "CFI"
"309" 309 "F"
"310" 310 "F"
"311" 311 "CF"
"312" 312 "CF"
"313" 313 "CF"
"314" 314 "CF"
"315" 315 "CFI"
"316" 316 "CFI"
"317" 317 "CFI"
"318" 318 "CFI"
"319" 319 "CFI"
"320" 320 "CFI"
"321" 321 "CFI"
"322" 322 "CFI"
"323" 323 "CFI"
"324" 324 "CFI"
"325" 325 "CFI"
"326" 326 "FI"
"327" 327 "FI"
"328" 328 "FI"
"329" 329 "FI"
"330" 330 "FI"
"331" 331 "CF"
"332" 332 "CF"
"333" 333 "CF"
"334" 334 "CF"
"335" 335 "FI"
"336" 336 "FI"
"337" 337 "CFI"
"338" 338 "CF"
"339" 339 "CF"
"340" 340 "CFI"
"341" 341 "CFI"
"342" 342 "CF"
"343" 343 "CF"
"344" 344 "F"
"345" 345 "CF"
"346" 346 "CF"
"347" 347 "CFI"
"348" 348 "CFI"
"349" 349 "F"
"350" 350 "F"
"351" 351 "FI"
"352" 352 "FI"
"353" 353 "FI"
"354" 354 "FI"
"355" 355 "FI"
"356" 356 "CFI"
"357" 357 "CFI"
"358" 358 "CFI"
"359" 359 "CFI"
"360" 360 "CFI"
"361" 361 "CFI"
"362" 362 "F"
"363" 363 "F"
"364" 364 "F"
"365" 365 "F"
"366" 366 "FI"
"367" 367 "CFI"
"368" 368 "CFI"
"369" 369 "CFI"
"370" 370 "CFI"
"371" 371 "CFI"
"372" 372 "FI"
"373" 373 "FI"
"374" 374 "CFI"
"375" 375 "CFI"
"376" 376 "CFI"
"377" 377 "CFI"
"378" 378 "CFI"
"379" 379 "CFI"
"380" 380 "CFI"
"381" 381 "CFI"
"382" 382 "CFI"
"383" 383 "CFI"
"384" 384 "CFI"
"385" 385 "CFI"
"387" 386 "CFI"
"388" 387 "CFI"
"389" 388 "CFI"
"390" 389 "CFI"
"391" 390 "CFI"
"392" 391 "CFI"
"393" 392 "CFI"
"394" 393 "CFI"
"395" 394 "CFI"
"396" 395 "CFI"
"397" 396 "CFI"
"398" 397 "CFI"
"399" 398 "CF"
"400" 399 "CF"
"401" 400 "CF"
"402" 401 "F"
"403" 402 "F"
"404" 403 "F"
"405" 404 "F"
"406" 405 "F"
"407" 406 "F"
"408" 407 "F"
"409" 408 "F"
"410" 409 "CF"
"411" 410 "CF"
"412" 411 "CF"
"413" 412 "CF"
"414" 413 "CF"
"415" 414 "CD"
"416" 415 "CD"
"417" 416 "CD"
"418" 417 "CD"
"419" 418 "CD"
"420" 419 "CF"
"421" 420 "CF"
"422" 421 "CF"
"423" 422 "CF"
"424" 423 "CF"
"425" 424 "CF"
"426" 425 "CF"
"427" 426 "CDF"
"428" 427 "CF"
"429" 428 "CFI"
"430" 429 "CFI"
"431" 430 "CFI"
"432" 431 "CFI"
"433" 432 "CFI"
"434" 433 "CFI"
"435" 434 "CFI"
"436" 435 "CFI"
"437" 436 "CFI"
"438" 437 "CFI"
"439" 438 "CFI"
"440" 439 "CFI"
"441" 440 "FI"
"442" 441 "FK"
"443" 442 "FK"
"444" 443 "FK"
"445" 444 "FK"
"446" 445 "FJK"
"447" 446 "FJK"
"448" 447 "JK"
"449" 448 "FI"
"450" 449 "FI"
"451" 450 "IJ"
"452" 451 "CFI"
"453" 452 "CFI"
"454" 453 "CFI"
"455" 454 "CFI"
"456" 455 "CFI"
"457" 456 "CFI"
"458" 457 "CFI"
"459" 458 "CFI"
"460" 459 "CF"
"461" 460 "CFI"
"462" 461 "CFI"
"463" 462 "CFI"
"464" 463 "CFI"
"465" 464 "CFI"
"466" 465 "CFI"
"467" 466 "CFI"
"468" 467 "GJK"
"469" 468 "FK"
"470" 469 "FK"
"471" 470 "G"
"472" 471 "GJK"
"473" 472 "GJK"
"474" 473 "GJK"
"475" 474 "FK"
"476" 475 "DFK"
"477" 476 "FK"
"478" 477 "CFI"
"479" 478 "CFI"
"480" 479 "CFI"
"481" 480 "CFI"
"482" 481 "CFI"
"483" 482 "CFI"
"484" 483 "CFI"
"485" 484 "CFI"
"486" 485 "CFI"
"487" 486 "CFI"
"488" 487 "CFI"
"489" 488 "DFI"
"490" 489 "CFI"
"491" 490 "CFI"
"492" 491 "CFI"
"493" 492 "CFI"
"494" 493 "CFI"
"495" 494 "CF"
"496" 495 "CFK"
"497" 496 "CFK"
"498" 497 "CFK"
"499" 498 "CFK"
"500" 499 "CFK"
"501" 500 "FK"
"502" 501 "FK"
"503" 502 "CFK"
"504" 503 "CFK"
"505" 504 "CFK"
"506" 505 "CF"
"507" 506 "CFK"
"508" 507 "CFK"
"509" 508 "CFI"
"510" 509 "CFI"
"511" 510 "CFI"
"512" 511 "CFI"
"513" 512 "CFI"
"514" 513 "CFI"
"515" 514 "CFI"
"516" 515 "CFI"
"517" 516 "CFI"
"518" 517 "CFI"
"519" 518 "CFI"
"520" 519 "CFI"
"521" 520 "CFI"
"522" 521 "CFI"
"523" 522 "CFI"
"524" 523 "CDF"
"525" 524 "CDF"
"526" 525 "CD"
"527" 526 "CD"
"528" 527 "CDF"
"529" 528 "CFI"
"530" 529 "CFI"
"531" 530 "CFI"
"532" 531 "CFI"
"533" 532 "CFI"
"534" 533 "CFI"
"535" 534 "CFI"
"536" 535 "CFI"
"537" 536 "FI"
"538" 537 "FI"
"539" 538 "CFI"
"540" 539 "CFI"
"541" 540 "CFI"
"542" 541 "CFI"
"543" 542 "CFI"
"544" 543 "CFI"
"545" 544 "CFI"
"546" 545 "CFI"
"547" 546 "CFI"
"548" 547 "CFI"
"549" 548 "CFI"
"550" 549 "CFI"
"551" 550 "CFI"
"552" 551 "CFI"
"553" 552 "CDF"
"554" 553 "CDF"
"555" 554 "CDF"
"556" 555 "CDF"
"557" 556 "CDF"
"558" 557 "CF"
"559" 558 "CF"
"560" 559 "CF"
"561" 560 "CDF"
"562" 561 "CDF"
"563" 562 "CDF"
"564" 563 "CFI"
"565" 564 "CFI"
"566" 565 "CFI"
"567" 566 "CFI"
"568" 567 "CFI"
"569" 568 "CFI"
"570" 569 "CFI"
"571" 570 "CFI"
"572" 571 "CFI"
"573" 572 "CFI"
"574" 573 "CFI"
"575" 574 "CFI"
"576" 575 "CFI"
"577" 576 "FI"
"578" 577 "FI"
"579" 578 "FIJ"
"580" 579 "FIJ"
"581" 580 "FJ"
"582" 581 "FJK"
"583" 582 "FJK"
"584" 583 "FJK"
"585" 584 "FJ"
"586" 585 "FIJ"
"587" 586 "FIJ"
"588" 587 "FIJ"
"589" 588 "FIJ"
"590" 589 "FIJ"
"591" 590 "FIJ"
"592" 591 "FIJ"
"593" 592 "FIJ"
"594" 593 "FIJ"
"595" 594 "FIJ"
"596" 595 "FI"
"597" 596 "DFI"
"598" 597 "DFI"
"599" 598 "F"
"600" 599 "CFI"
"601" 600 "CFI"
"602" 601 "CFI"
"603" 602 "CFI"
"604" 603 "CFI"
"605" 604 "CFI"
"606" 605 "CFI"
"607" 606 "FI"
"608" 607 "FI"
"609" 608 "CFI"
"610" 609 "CFI"
"611" 610 "CFI"
"612" 611 "CFI"
"613" 612 "CFI"
"614" 613 "CFI"
"615" 614 "CFI"
"616" 615 "CFI"
"617" 616 "CFI"
"618" 617 "CFI"
"619" 618 "CFI"
"620" 619 "CFI"
"621" 620 "CFI"
"622" 621 "CFI"
"623" 622 "CFI"
"624" 623 "CFI"
"625" 624 "CFI"
"626" 625 "CFI"
"627" 626 "CFI"
"628" 627 "CFI"
"629" 628 "CFI"
"630" 629 "CFI"
"631" 630 "CFI"
"632" 631 "CFK"
"633" 632 "CFI"
"634" 633 "CF"
"635" 634 "CF"
"636" 635 "CF"
"637" 636 "CFI"
"638" 637 "CF"
"639" 638 "CF"
"640" 639 "CFK"
"641" 640 "FK"
"642" 641 "CFI"
"643" 642 "CFI"
"644" 643 "CFI"
"645" 644 "CFI"
"646" 645 "CFI"
"647" 646 "CFI"
"648" 647 "CFI"
"649" 648 "CFI"
"650" 649 "CFI"
"651" 650 "CFI"
"652" 651 "CF"
"653" 652 "CF"
"654" 653 "CF"
"655" 654 "CF"
"656" 655 "CF"
"657" 656 "CFI"
"658" 657 "CFI"
"659" 658 "CFI"
"660" 659 "CFI"
"661" 660 "CFI"
"662" 661 "CFI"
"663" 662 "CFI"
"664" 663 "CFI"
"665" 664 "CFI"
"666" 665 "CFI"
"667" 666 "CFI"
"668" 667 "CFI"
"669" 668 "CFI"
"670" 669 "CFI"
"671" 670 "CFI"
"672" 671 "CFI"
"673" 672 "CFI"
"674" 673 "CFI"
"675" 674 "CFI"
"676" 675 "CFI"
"677" 676 "CF"
"678" 677 "CFI"
"679" 678 "CFI"
"680" 679 "CFI"
"681" 680 "CFI"
"682" 681 "CFI"
"683" 682 "CFI"
"684" 683 "CFI"
"685" 684 "CFI"
"686" 685 "CFI"
"687" 686 "CFI"
"688" 687 "CFI"
"689" 688 "CFI"
"690" 689 "FI"
"691" 690 "CFI"
"692" 691 "CF"
"693" 692 "CFI"
"694" 693 "CFI"
"695" 694 "CFI"
"696" 695 "CFI"
"697" 696 "CFI"
"698" 697 "CFI"
"699" 698 "CFI"
"700" 699 "CFI"
"701" 700 "CFI"
"702" 701 "CFI"
"703" 702 "CF"
"704" 703 "CF"
"705" 704 "CFI"
"706" 705 "CFI"
"707" 706 "CFI"
"708" 707 "CFI"
"709" 708 "CFI"
"710" 709 "CFI"
"711" 710 "CFI"
"712" 711 "CFI"
"713" 712 "CFI"
"714" 713 "CFI"
"715" 714 "CFI"
"716" 715 "CFI"
"717" 716 "FI"
"718" 717 "FI"
"719" 718 "FI"
"720" 719 "CFI"
"721" 720 "CF"
"722" 721 "CF"
"723" 722 "CFI"
"724" 723 "CFI"
"725" 724 "CFI"
"726" 725 "CFI"
"727" 726 "CFI"
"728" 727 "CFI"
"729" 728 "CFI"
"730" 729 "CFI"
"731" 730 "CFI"
"732" 731 "CFI"
"733" 732 "CFI"
"734" 733 "CFI"
"735" 734 "F"
"736" 735 "CFI"
"737" 736 "CFI"
"738" 737 "CFI"
"739" 738 "CFI"
"740" 739 "CFI"
"741" 740 "CFI"
"742" 741 "FI"
"743" 742 "FI"
"744" 743 "FI"
"745" 744 "FI"
"746" 745 "FI"
"747" 746 "CFI"
"748" 747 "CFI"
"749" 748 "CFI"
"750" 749 "CFI"
"751" 750 "CFI"
"752" 751 "FI"
"753" 752 "F"
"754" 753 "F"
"755" 754 "CFI"
"756" 755 "CFI"
"757" 756 "CFI"
"758" 757 "CFI"
"759" 758 "CFI"
"760" 759 "CFI"
"761" 760 "CFI"
"762" 761 "CFI"
"763" 762 "CFI"
"764" 763 "CFI"
"765" 764 "CFI"
"766" 765 "CFI"
"767" 766 "CFI"
"768" 767 "CFI"
"769" 768 "CFI"
